State,Race,Built_Before_1939,Built_1940_1949,Built_1950_1959,Built_1960_1969,Built_1970_1979,Built_1980_1989,Built_1990_1999,Built_2000_2009,Unit_Built_After2010
Alabama/AL,White alone,131273,83744,205472,290223,462107,474010,577622,536959,302526
Alabama/AL,Black or African American alone,60603,47871,117948,147446,228977,166684,167818,134291,89460
Alabama/AL,American Indian alone,268,416,890,1415,1349,2829,3847,2751,4063
Alabama/AL,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0,70,203,0,1496,46,129,374,0
Alabama/AL,Asian alone,435,435,1268,2999,4994,4810,15601,22194,11724
Alabama/AL,Native Hawaiian and Other Pacific Islander alone,13,0,79,140,558,21,228,261,63
Alabama/AL,Some Other Race alone,2792,1275,3494,7128,5035,12797,15438,9910,5317
Alabama/AL,Two or More Races,2881,2191,3965,9445,11692,14876,13665,9064,8338
Alaska/AK,White alone,4598,6118,19853,35145,83781,119120,59631,80209,27817
Alaska/AK,Black or African American alone,0,0,693,0,6739,2724,2003,671,1299
Alaska/AK,American Indian alone,139,37,181,110,1280,2475,213,440,911
Alaska/AK,Alaska Native alone,561,1060,3534,3332,17402,24769,16360,11287,3671
Alaska/AK,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",467,770,61,982,3339,2405,1729,1397,282
Alaska/AK,Asian alone,332,1476,868,1719,9384,9808,6239,2466,1107
Alaska/AK,Native Hawaiian and Other Pacific Islander alone,1075,15,0,0,2069,587,3541,293,76
Alaska/AK,Some Other Race alone,0,36,587,0,1604,594,540,1701,0
Alaska/AK,Two or More Races,503,881,2345,3409,11999,12475,8771,8571,4056
Arizona/AZ,White alone,62579,74594,301487,373460,881120,829548,1003066,1369657,445384
Arizona/AZ,Black or African American alone,1844,6190,16301,30034,39634,41175,49264,82088,26802
Arizona/AZ,American Indian alone,3827,2268,7909,14768,54932,57795,67152,44772,9528
Arizona/AZ,Alaska Native alone,0,68,0,110,284,415,0,252,0
Arizona/AZ,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",31,690,607,3220,3424,2696,1229,2626,4026
Arizona/AZ,Asian alone,804,577,5070,6112,21842,22644,60807,71679,38798
Arizona/AZ,Native Hawaiian and Other Pacific Islander alone,197,0,0,1896,2992,610,3538,1676,537
Arizona/AZ,Some Other Race alone,5565,7944,24998,29851,62463,46655,55957,77923,20812
Arizona/AZ,Two or More Races,2093,6433,14651,15768,41442,38887,40076,65108,25094
Arkansas/AR,White alone,82281,66001,119034,184058,345742,315468,405822,402264,233854
Arkansas/AR,Black or African American alone,15496,19956,36226,62729,94994,44198,58835,57871,34989
Arkansas/AR,American Indian alone,1333,86,692,1072,1467,3560,2077,2018,933
Arkansas/AR,Alaska Native alone,0,0,0,0,58,0,0,0,0
Arkansas/AR,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",493,0,155,0,604,222,260,407,109
Arkansas/AR,Asian alone,667,154,1789,1256,3411,3050,8958,9097,11894
Arkansas/AR,Native Hawaiian and Other Pacific Islander alone,0,0,462,31,415,1402,3623,1599,153
Arkansas/AR,Some Other Race alone,3085,5417,4140,7054,7429,12994,13055,20613,3651
Arkansas/AR,Two or More Races,3303,2220,4894,4284,20782,10050,12641,12649,10871
California/CA,White alone,1780321,1232178,3098804,2916357,3767553,3176137,2408105,2385786,856774
California/CA,Black or African American alone,208540,145411,230190,245970,276007,288517,202384,248200,98386
California/CA,American Indian alone,20619,9853,26312,23674,34984,37487,27021,26363,5470
California/CA,Alaska Native alone,0,0,362,119,433,824,0,582,416
California/CA,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",4409,4814,9238,9952,10994,13802,6084,6765,3334
California/CA,Asian alone,360176,245663,676023,674555,854164,721859,659323,804330,411325
California/CA,Native Hawaiian and Other Pacific Islander alone,6032,5928,17857,17021,31990,16243,13795,19395,9613
California/CA,Some Other Race alone,514959,423805,800957,700893,750631,653410,444679,432889,155910
