State,Population,P_Female,Bedrooms,Type_House,Type_IGroup,Type_NIGroup,HU_SingleFamily,HU_2_4,HU_5_9,HU_10_19,HU_20_49,HU_50plus,Rent,Tenure_Owned,Tenure_Rented,Unit_Built_Before1950,Unit_Built_1950_2000,Unit_Built_After2000,Owner_Costs,Property_Value_Mean,Household_Income
Alabama/AL,4903185,0.5159356622277154,3.1105893087643643,4786560,63777,52848,3527118,167942,164358,100319,53872,61044,233.75540849740673,3165768,1153174,334267,2978744,1103837,1019.5396046234667,204878.1497886137,82110.68566031137
Alaska/AK,731545,0.4826346977971361,2.927192233344946,704872,6433,20240,474313,86675,18640,11961,18497,7263,444.3867974263244,433348,197671,18068,484400,142746,1606.3270258545094,297947.11825138226,110419.56035204003
Arizona/AZ,7278717,0.5022475801710287,3.0346227248570283,7116824,88681,73212,5062264,291635,219192,254101,139786,263839,391.3587825663602,4471435,2177881,175704,4275889,2209178,1319.8125139907916,307798.3191078479,94190.12302309873
Arkansas/AR,3017804,0.5115709966584939,2.960968213662837,2933793,49214,34797,2167950,160966,78150,87374,24651,23066,250.53971625110853,1889514,835637,200492,1798993,777043,945.5240910852344,181585.0325533444,77652.17866266628
California/CA,39512223,0.502718766291441,2.868254855317371,38685702,362512,464009,24723616,2788100,2027167,1667650,1549500,2056523,759.5614439069828,20290593,15379258,5202419,25048972,5627118,2297.4453597744678,728567.4838680171,125510.49180156288
Colorado/CO,5758736,0.49507878117697734,3.2058605829090507,5639595,60104,59037,3988769,221685,211226,227867,191931,206475,449.657522483092,3776419,1655250,457146,3485613,1451747,1759.6981590390492,469328.5505130654,116732.2460451486
Connecticut/CT,3565287,0.510764771531712,2.9878527740076986,3454420,39852,71015,2285041,525038,150423,94069,79748,123414,413.66621313682344,2254706,990625,887761,2026777,347123,2155.607738156489,402757.30778203456,135278.16477707366
Delaware/DE,973764,0.5153137721254841,3.1404610551998937,948869,11647,13248,616065,27886,33184,35785,13175,16597,326.3313989279779,645119,237006,103318,539321,230649,1421.0503798523994,324711.7324090594,106190.6236602024
District of Columbia/DC,705749,0.5239950747362009,2.427944214427315,666891,6273,32585,99769,60510,56555,56327,35813,136555,914.8889118616446,266430,305081,284024,195315,92097,2760.9193048612387,807338.5057988965,162246.5236813379
Florida/FL,21477737,0.5111113894354558,2.893915394871729,21047762,249213,180762,13524154,1031810,857817,905771,858982,1038022,445.4586468144667,12457176,6021836,717571,12587583,5150485,1405.1880994080332,325915.3092643148,94721.86026397378
