GEOID,NAME,pop19,pop10,age19_total,age19_under18,age19_over65,age10_total,age10_under18,age10_over65,race19_total,race19_white,race19_black,race19_aian,race19_asian,race19_nhpi,race19_other,race19_2more,race10_total,race10_white,race10_black,race10_aian,race10_asian,race10_nhpi,race10_other,race10_2more,ethnicity19_total,ethnicity19_nhw,ethnicity19_latino,ethnicity10_total,ethnicity10_nhw,ethnicity10_latino,foreignborn19,foreignborn10,mhi19,mhi10,moc19,moc10,mgr19,mgr10,pown19,pownbase19,pown10,pownbase10,hu18,vac18,hu10,vac10,size19,size10
01,Alabama,4876250,4712651,4876250,1096376,804881,4712651,1132303,635217,4876250,3320247,1299048,25565,66270,2238,70662,92220,4712651,3293917,1232325,25814,51219,1769,46237,61370,4876250,3194929,208626,4712651,3188814,162371,172947,157935,50536,42081,764,757,792,644,1284748,1867893,1295320,1821210,2244462,384193,2146513,325303,2.55,2.53
02,Alaska,737068,691189,737068,184394,82583,691189,185147,50154,737068,476015,24205,109751,45920,9204,11308,60665,691189,464150,22655,98120,36021,6317,9833,54093,737068,446897,51870,691189,444238,38393,57667,49762,77640,66521,1428,1382,1244,972,162996,253346,160622,248248,315386,61924,298723,50475,2.8,2.68
04,Arizona,7050299,6246816,7050299,1635344,1206748,6246816,1613501,833228,7050299,5444453,317462,317414,233213,14458,460262,263037,6246816,4883606,240655,278336,166663,12038,498977,166541,7050299,3857007,2208663,6246816,3667031,1814674,940651,884625,58945,50448,1050,1168,1052,856,1656756,2571268,1568513,2326468,2970935,446635,2776037,449569,2.68,2.63
05,Arkansas,2999370,2872684,2999370,704268,498778,2872684,706261,405895,2999370,2301044,459542,20434,45504,8733,83576,80537,2872684,2253875,445197,19192,33327,4133,65382,51578,2999370,2172453,224130,2872684,2158805,168427,145047,122446,47597,39267,694,663,745,617,759455,1158071,756358,1117154,1362040,209865,1300449,183295,2.52,2.5
06,California,39283497,36637290,39283497,9022146,5486041,36637290,9325329,4060596,39283497,23453222,2274108,303998,5692423,155290,5481792,1922664,36637290,22392713,2246311,283628,4747252,140429,5448609,1378348,39283497,14605312,15327688,36637290,15107042,13456157,10547210,9962472,75235,60883,1815,1882,1503,1147,7154580,13044266,7112050,12392852,14084824,1119389,13552624,1159772,2.95,2.89
08,Colorado,5610349,4887061,5610349,1261005,773706,4887061,1202530,515022,5610349,4712574,233647,54847,178147,8643,216767,205724,4887061,4082565,190598,47022,133134,5757,277524,150461,5610349,3818321,1208172,4887061,3451276,983326,546513,479769,72331,56456,1403,1378,1271,852,1401735,2148994,1296670,1918959,2352202,238815,2176600,257641,2.56,2.49
09,Connecticut,3575074,3545837,3575074,743833,601053,3545837,827523,491703,3575074,2714031,383416,9955,161257,1123,186292,119000,3545837,2795926,342764,7959,129904,1332,189160,78792,3575074,2392013,574240,3545837,2567005,447111,520951,469180,78444,67740,1712,1700,1180,982,905681,1370746,939984,1359218,1512305,144931,1475657,116439,2.53,2.52
10,Delaware,957248,881278,957248,203684,174174,881278,205269,122912,957248,658237,212302,3729,37009,542,18350,27079,881278,626426,185253,3076,27914,457,19915,18237,957248,596497,88364,881278,585658,66915,91473,72531,68287,57599,1203,1212,1130,938,258780,363322,244005,331639,428251,70486,398866,67227,2.57,2.58
11,District of Columbia,692683,584400,692683,123930,83670,584400,103090,67108,692683,285857,320811,2091,27592,376,34511,21445,584400,222375,309048,1625,20323,362,20021,10646,692683,253373,76191,584400,194910,51301,95065,76058,86420,58526,2121,1808,1541,1063,118367,284386,111879,257317,311545,30223,293492,36175,2.3,2.12
12,Florida,20901636,18511620,20901636,4182462,4205428,18511620,4013090,3134105,20901636,15702256,3359031,59320,571276,12653,625079,572021,18511620,14115228,2900412,54570,444584,10797,624129,361900,20901636,11266347,5346684,18511620,10932256,3995324,4324800,3549510,55660,47661,1022,1150,1175,957,5058841,7736311,4986629,7152844,9348689,1726929,8863057,1710213,2.65,2.53
13,Georgia,10403847,9468815,10403847,2505240,1406485,9468815,2462478,971351,10403847,6098889,3289020,37440,414481,6233,291872,265912,9468815,5788255,2873069,23234,296986,4850,338510,143911,10403847,5485855,992394,9468815,5381770,784712,1053874,909022,58700,49347,1056,1113,1006,808,2377773,3758798,2331778,3468704,4241003,531515,4020736,552032,2.7,2.66
15,Hawaii,1422094,1333591,1422094,304638,253606,1333591,300728,186400,1422094,354847,26025,3710,537355,142997,17433,339727,1333591,333842,21170,3506,525848,127661,15964,305600,1422094,312722,149118,1333591,306616,115433,262439,236177,81275,66420,1702,1624,1617,1260,270377,459424,262419,442267,539053,82271,512157,69890,3,2.92
16,Idaho,1717750,1526797,1717750,441147,264889,1526797,419212,183008,1717750,1545409,11918,23136,24287,2755,59676,50569,1526797,1407354,8674,18951,17939,2284,34225,37370,1717750,1407883,215476,1526797,1292746,161337,102443,89359,55785,46423,960,947,853,689,440716,630008,404844,570283,711731,93400,652323,82040,2.68,2.63
17,Illinois,12770631,12745359,12770631,2891526,1942534,12745359,3153459,1568200,12770631,9134903,1813590,33460,698524,4477,757231,328446,12745359,9136680,1860305,24729,571537,3290,927604,221214,12770631,7829850,2186387,12745359,8202650,1939928,1796962,1736696,65886,55735,1233,1283,1010,834,3202715,4846134,3300691,4769951,5347268,517230,5267614,497663,2.57,2.61
18,Indiana,6665703,6417398,6665703,1572491,1023588,6417398,1607071,815306,6665703,5553391,626587,15782,151979,2506,145747,169711,6417398,5461258,572352,14487,96189,1510,148957,122645,6665703,5271071,461850,6417398,5271451,361472,349922,285300,56303,47697,880,916,826,683,1776182,2570419,1763781,2465402,2870670,316852,2778459,313057,2.52,2.53
19,Iowa,3139508,3016267,3139508,728737,525522,3016267,723991,446630,3139508,2826070,116359,11976,75741,3729,39048,66585,3016267,2773410,82682,9825,50363,961,48535,50491,3139508,2690052,188311,3016267,2696669,136932,166439,124681,60523,48872,912,834,789,617,899223,1265473,889912,1215954,1386722,129867,1327302,111348,2.4,2.4
